PassengerId,Sex_female,Sex_male,AgeStatus_adult,AgeStatus_child,AgeStatus_unknown,Pclass_1,Pclass_2,Pclass_3,Label
1,false,true,true,false,false,false,false,true,0
2,true,false,true,false,false,true,false,false,1
3,true,false,true,false,false,false,false,true,1
4,true,false,true,false,false,true,false,false,1
5,false,true,true,false,false,false,false,true,0
6,false,true,false,false,true,false,false,true,0
7,false,true,true,false,false,true,false,false,0
8,false,true,false,true,false,false,false,true,0
9,true,false,true,false,false,false,false,true,1
10,true,false,false,true,false,false,true,false,1
11,true,false,false,true,false,false,false,true,1
12,true,false,true,false,false,true,false,false,1
13,false,true,true,false,false,false,false,true,0
14,false,true,true,false,false,false,false,true,0
15,true,false,false,true,false,false,false,true,0
16,true,false,true,false,false,false,true,false,1
17,false,true,false,true,false,false,false,true,0
18,false,true,false,false,true,false,true,false,1
19,true,false,true,false,false,false,false,true,0
20,true,false,false,false,true,false,false,true,1
21,false,true,true,false,false,false,true,false,0
22,false,true,true,false,false,false,true,false,1
23,true,false,false,true,false,false,false,true,1
24,false,true,true,false,false,true,false,false,1
25,true,false,false,true,false,false,false,true,0
26,true,false,true,false,false,false,false,true,1
27,false,true,false,false,true,false,false,true,0
28,false,true,true,false,false,true,false,false,0
29,true,false,false,false,true,false,false,true,1
30,false,true,false,false,true,false,false,true,0
31,false,true,true,false,false,true,false,false,0
32,true,false,false,false,true,true,false,false,1
33,true,false,false,false,true,false,false,true,1
34,false,true,true,false,false,false,true,false,0
35,false,true,true,false,false,true,false,false,0
36,false,true,true,false,false,true,false,false,0
37,false,true,false,false,true,false,false,true,1
38,false,true,true,false,false,false,false,true,0
39,true,false,true,false,false,false,false,true,0
40,true,false,false,true,false,false,false,true,1
41,true,false,true,false,false,false,false,true,0
42,true,false,true,false,false,false,true,false,0
43,false,true,false,false,true,false,false,true,0
44,true,false,false,true,false,false,true,false,1
45,true,false,true,false,false,false,false,true,1
46,false,true,false,false,true,false,false,true,0
47,false,true,false,false,true,false,false,true,0
48,true,false,false,false,true,false,false,true,1
49,false,true,false,false,true,false,false,true,0
50,true,false,true,false,false,false,false,true,0
51,false,true,false,true,false,false,false,true,0
